"Row","Description","Part","References","Value","Footprint","Quantity Per PCB","Status","Datasheet","lcsc#","jlc-part-type","alt#"
"1","Heatsink","Heatsink","BOM101,BOM102","1x4 screw plug","","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2309070925_DEGSON-15EDGKN-3-5-04P-14-00A-H_C7603442.pdf","C7603442","E",""
"2","Unpolarized capacitor","C","C401,C402","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10C100JB8NNNC_C1634.pdf","C1634","B",""
"3","Unpolarized capacitor","C","C312","100p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21C101JBANNNC_C1790.pdf","C1790","B",""
"4","Unpolarized capacitor","C","C101,C102,C202,C203,C307,C310,C403,C404,C407,C408,C409,C410,C411,C412,C413","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","15"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21B104KCFNNNE_C28233.pdf","C28233","B",""
"5","Unpolarized capacitor","C","C406","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21B105KBFNNNE_C28323.pdf","C28323","B",""
"6","Unpolarized capacitor","C","C204,C205,C301,C303,C304,C305,C306,C313","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2411041759_Murata-Electronics-GRM21BR61H106KE43L_C440198.pdf","C440198","B",""
"7","Unpolarized capacitor","C","C201,C302,C308,C405","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf","C45783","B",""
"8","Unpolarized capacitor","C","C309,C311","47u/6V3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf","C16780","B",""
"9","Zener diode","D_Zener","D101,D303","6V8","D_SOD-323_HandSoldering","2"," ","https://www.lcsc.com/datasheet/C123062.pdf","C123062","E",""
"10","Schottky diode","D_Schottky","D301,D304,D401,D402,D403","B5819W","D_SOD-123","5"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--B5819W-SL_C8598.pdf","C8598","B",""
"11","Light emitting diode","LED","D302","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"," ","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8550724011370958848","C2297","B",""
"12","Light emitting diode","LED","D102,D103,D104,D105,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216","RED","LED_1206_3216Metric_ReverseMount","20"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2302091130_TOGIALED-TJ-S3216SWETNPLC2R-A5_C5356080.pdf","C5356080","E",""
"13","Resettable fuse, polymeric positive temperature coefficient","Polyfuse","F301","250mA","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2404081622_BHFUSE-BSMD0805-025-33V_C22378353.pdf","C22378353","E",""
"14","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x03","J301,J302,J303,J304","24V","PinHeader_1x03_P2.54mm_Vertical","4"," ","~","","-",""
"15","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","Screw_Terminal_01x04","J101,J102","BUS","PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical","2"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Ningbo-Xinlaiya-Elec--XY2500V-F-3-5-4P_C880556.pdf","C880556","E",""
"16","Generic connector, single row, 01x16, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x16","J103","Back","PinSocket_2x08_P2.54mm_Vertical_SMD","1"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2306091018_HCTL-PM254-2-08-S-8-5_C3975153.pdf","C3975153","E",""
"17","Generic connectable mounting pin connector, single row, 01x24, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x24_MountingPin","J105","FFC","AFC11-S24ICC-00","1"," ","https://www.lcsc.com/datasheet/lcsc_datasheet_2212161930_JUSHUO-AFC11-S24ICC-00_C11075.pdf","C11075","E",""
"18","Generic connector, single row, 01x16, script generated (kicad-library-utils/schlib/autogen/connector/)","Conn_01x16","J104","Front","PinHeader_2x08_P2.54mm_Vertical_SMD","1"," ","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2209141730_DEALON-DZ254S-22-16-75_C5160782.pdf","C5160782","E",""
