Designator,Mid X,Mid Y,Layer,Rotation
"C101",-14.400,-6.600,top,-90.000
"C102",-22.500,-44.770,top,-90.000
"C201",12.200,9.362,top,90.000
"C202",20.200,6.550,top,-90.000
"C203",22.400,-12.250,top,0.000
"C204",-30.400,4.800,top,-90.000
"C205",-29.000,-13.600,top,0.000
"C301",16.600,-50.700,top,0.000
"C302",9.200,-58.100,top,90.000
"C303",21.600,-58.100,top,-90.000
"C304",23.600,-54.300,top,90.000
"C305",23.600,-58.100,top,-90.000
"C306",21.600,-54.300,top,90.000
"C307",19.600,-54.300,top,90.000
"C308",19.600,-58.100,top,-90.000
"C309",13.200,-54.300,top,-90.000
"C310",25.600,-58.100,top,-90.000
"C311",-24.770,-50.905,top,-90.000
"C312",-26.770,-50.905,top,-90.000
"C313",-20.570,-55.905,top,90.000
"C314",-27.770,-54.505,top,0.000
"C315",-27.770,-56.505,top,0.000
"C316",-18.770,-50.905,top,90.000
"C401",-30.462,-26.962,top,-90.000
"C402",-28.462,-26.962,top,-90.000
"C403",-29.262,-31.962,top,180.000
"C404",-26.600,-37.762,top,180.000
"C405",-18.000,-33.000,top,90.000
"C406",-29.262,-29.962,top,180.000
"C407",-20.000,-33.000,top,90.000
"C408",-33.062,-29.962,top,0.000
"C409",8.737,-30.962,top,0.000
"C410",-7.600,-33.000,top,90.000
"C411",-21.162,-24.162,top,0.000
"C412",-25.062,-24.162,top,0.000
"C413",21.675,-29.500,top,90.000
"D101",-37.500,17.500,top,0.000
"D102",-32.500,17.500,top,0.000
"D103",-27.500,17.500,top,0.000
"D104",-22.500,17.500,top,0.000
"D201",-17.500,17.500,top,0.000
"D202",37.500,-17.500,top,0.000
"D203",32.500,-17.500,top,0.000
"D204",27.500,-17.500,top,0.000
"D205",22.500,-17.500,top,0.000
"D206",17.500,-17.500,top,0.000
"D207",-17.500,-17.500,top,0.000
"D208",-22.500,-17.500,top,0.000
"D209",-27.500,-17.500,top,0.000
"D210",-32.500,-17.500,top,0.000
"D211",-37.500,-17.500,top,0.000
"D212",17.500,17.500,top,0.000
"D213",22.500,17.500,top,0.000
"D214",27.500,17.500,top,0.000
"D215",32.500,17.500,top,0.000
"D216",37.500,17.500,top,0.000
"D301",33.800,-54.900,top,0.000
"D302",37.600,-54.100,top,90.000
"D303",21.000,-51.100,top,180.000
"D304",34.400,-52.500,top,180.000
"D305",-30.970,-51.305,top,90.000
"D401",26.475,-25.500,top,0.000
"D402",26.475,-33.500,top,0.000
"D403",18.875,-28.800,top,-90.000
"F301",37.400,-58.500,top,-90.000
"J103",-5.000,15.500,top,180.000
"J104",0.000,-46.500,top,90.000
"J105",0.000,3.500,top,90.000
"J401",0.000,-26.500,top,180.000
"L301",16.400,-53.100,top,180.000
"L302",-26.170,-58.900,top,180.000
"R101",-37.200,15.000,top,180.000
"R102",-32.000,15.000,top,180.000
"R103",-26.500,15.000,top,180.000
"R104",-21.500,15.000,top,180.000
"R105",-16.500,15.000,top,180.000
"R301",10.200,-55.100,top,0.000
"R302",30.400,-54.300,top,-90.000
"R303",11.200,-58.100,top,90.000
"R304",25.600,-54.300,top,-90.000
"R305",13.200,-58.100,top,-90.000
"R306",27.600,-58.100,top,90.000
"R307",16.200,-59.100,top,0.000
"R308",34.400,-59.100,top,0.000
"R309",34.400,-57.100,top,0.000
"R310",30.600,-59.100,top,180.000
"R311",30.600,-57.100,top,180.000
"R312",-30.770,-55.705,top,90.000
"R313",-18.570,-55.905,top,-90.000
"R314",-28.770,-50.905,top,90.000
"R315",-22.770,-50.905,top,-90.000
"R316",-20.770,-50.905,top,-90.000
"R401",-14.000,-33.000,top,-90.000
"R402",-12.000,-33.000,top,-90.000
"R403",-16.000,-33.000,top,90.000
"R404",-9.600,-33.000,top,-90.000
"R405",-33.062,-31.962,top,180.000
"R406",11.800,-49.200,top,-90.000
"R407",30.000,-34.200,top,90.000
"R408",22.075,-33.300,top,0.000
"R409",-3.662,-30.362,top,180.000
"R410",-19.262,-27.362,top,180.000
"R411",4.400,-30.300,top,180.000
"R412",-19.262,-29.362,top,180.000
"SW101",0.000,-8.500,top,-90.000
"SW401",12.000,-26.462,top,180.000
"SW402",-12.000,-26.462,top,180.000
"U101",-11.200,-6.600,top,0.000
"U102",-25.230,-44.600,top,270.000
"U201",26.500,4.850,top,0.000
"U202",25.000,-5.150,top,180.000
"U203",-24.200,3.200,top,0.000
"U204",-25.200,-6.600,top,180.000
"U301",16.400,-56.300,top,180.000
"U302",-23.770,-55.700,top,180.000
"U401",-24.262,-33.362,top,270.000
"U402",26.475,-29.500,top,270.000
"U403",0.000,-31.500,top,90.000
"Y401",-24.862,-26.962,top,180.000
